element,metal,mass,density,atomic_radius,electronegativity,first_ionization,neutrons,protons,electrons,1s,2s,2p,3s,3p,4s,3d,4p,5s,4d,5p,6s,4f,5d,6p
H,no,1.007,8.99e-05,0.79,2.2,13.5984,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
He,no,4.002,0.000179,0.49,4.16,24.5874,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li,yes,6.941,0.534,2.1,0.98,5.3917,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Be,yes,9.012,1.85,1.4,1.57,9.3227,5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B,no,10.811,2.34,1.2,2.04,8.298,6,5,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
C,no,12.011,2.27,0.91,2.55,11.2603,6,6,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
N,no,14.007,0.00125,0.75,3.04,14.5341,7,7,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
O,no,15.999,0.00143,0.65,3.44,13.6181,8,8,8,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
F,no,18.998,0.0017,0.57,3.98,17.4228,10,9,9,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
Ne,no,20.18,0.0009,0.51,4.787,21.5645,10,10,10,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Na,yes,22.99,0.971,2.2,0.93,5.1391,12,11,11,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0
Mg,yes,24.305,1.74,1.7,1.31,7.6462,12,12,12,2,2,6,2,0,0,0,0,0,0,0,0,0,0,0
Al,yes,26.982,2.7,1.8,1.61,5.9858,14,13,13,2,2,6,2,1,0,0,0,0,0,0,0,0,0,0
Si,no,28.086,2.33,1.5,1.9,8.1517,14,14,14,2,2,6,2,2,0,0,0,0,0,0,0,0,0,0
P,no,30.974,1.82,1.2,2.19,10.4867,16,15,15,2,2,6,2,3,0,0,0,0,0,0,0,0,0,0
S,no,32.065,2.07,1.1,2.58,10.36,16,16,16,2,2,6,2,4,0,0,0,0,0,0,0,0,0,0
Cl,no,35.453,0.00321,0.97,3.16,12.9676,18,17,17,2,2,6,2,5,0,0,0,0,0,0,0,0,0,0
Ar,no,39.948,0.00178,0.88,3.242,15.7596,22,18,18,2,2,6,2,6,0,0,0,0,0,0,0,0,0,0
K,yes,39.098,0.862,2.8,0.82,4.3407,20,19,19,2,2,6,2,6,1,0,0,0,0,0,0,0,0,0
Ca,yes,40.078,1.54,2.2,1.0,6.1132,20,20,20,2,2,6,2,6,2,0,0,0,0,0,0,0,0,0
Sc,yes,44.956,2.99,2.1,1.36,6.5615,24,21,21,2,2,6,2,6,2,1,0,0,0,0,0,0,0,0
Ti,yes,47.867,4.54,2.0,1.54,6.8281,26,22,22,2,2,6,2,6,2,2,0,0,0,0,0,0,0,0
V,yes,50.942,6.11,1.9,1.63,6.7462,28,23,23,2,2,6,2,6,2,3,0,0,0,0,0,0,0,0
Cr,yes,51.996,7.15,1.9,1.66,6.7665,28,24,24,2,2,6,2,6,1,5,0,0,0,0,0,0,0,0
