name,measured log(solubility:mol/L),SMILES,MolWt,HeavyAtomCount,RingCount,LogP,MaxPartialCharge,MinPartialCharge,NOCount
benzhydrol,-2.55,c1ccccc1C(O)c2ccccc2,184.238,14.0,2.0,2.768300000000001,0.1040455681219196,-0.3836608007323974,1.0
Dapsone,-3.094,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,248.307,17.0,2.0,1.6838000000000002,0.2060918054967559,-0.3987277293482943,4.0
Hexamethylbenzene,-5.23,Cc1c(C)c(C)c(C)c(C)c1C,162.27599999999998,12.0,1.0,3.5371200000000025,-0.0392279762248502,-0.0447267754713474,0.0
Altretamine,-3.364,CN(C)c1nc(nc(n1)N(C)C)N(C)C,210.285,15.0,1.0,0.0696000000000001,0.2309392442146489,-0.3467477008637583,6.0
Coumachlor,-5.839,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,342.7780000000001,24.0,3.0,4.263000000000003,0.343365936229635,-0.5065917727993995,4.0
Propane,-1.94,CCC,44.097,3.0,0.0,1.4163,-0.0590383639290487,-0.0656454412102395,0.0
Metolachlor,-2.73,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,283.7989999999999,19.0,1.0,3.1641200000000014,0.2417515170158824,-0.382547052258071,3.0
Cholanthrene,-7.85,C1Cc2c3c1cccc3cc4c2ccc5ccccc54,254.332,20.0,5.0,5.244800000000004,-0.0096247621656589,-0.0616289926749054,0.0
metalaxyl,-1.601,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,279.336,20.0,1.0,1.84434,0.3281779424362607,-0.4674785672921454,5.0
Betamethasone-17-valerate,-4.71,CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,476.5850000000002,34.0,4.0,3.636800000000003,0.3063083838628528,-0.4500275964017202,6.0
1-Iodoheptane,-4.81,CCCCCCCI,226.101,8.0,0.0,3.3918000000000026,-0.0004728115323887,-0.0863759171708718,0.0
2-Chlorotoluene,-3.52,Cc1ccccc1Cl,126.586,8.0,1.0,2.6484200000000007,0.0434670923053081,-0.084052993552296,0.0
Simetryn,-2.676,CSc1nc(nc(n1)N(C)C)N(C)C,213.31,14.0,1.0,0.7254999999999998,0.2301309599832935,-0.3467728148758764,5.0
Isopropylbenzene ,-3.27,CC(C)c1ccccc1,120.19499999999996,9.0,1.0,2.8100000000000014,-0.0218823856167071,-0.0622483947466908,0.0
Propyl acetate,-0.72,CCCOC(=O)C,102.13299999999998,7.0,0.0,0.9595,0.3021226973628452,-0.4658887398426499,2.0
1-Octanol,-2.39,CCCCCCCCO,130.23100000000002,9.0,0.0,2.3392000000000013,0.0430524072288793,-0.3963765693422825,1.0
Malathion,-3.37,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,330.3640000000001,19.0,0.0,2.1218000000000004,0.3196938226497557,-0.4659275615510423,6.0
"1,3-Dichlorobenzene",-3.04,Clc1cccc(Cl)c1,147.004,8.0,1.0,2.993400000000001,0.0420299105976315,-0.0842889078864603,0.0
Toluene ,-2.21,Cc1ccccc1,92.141,7.0,1.0,1.99502,-0.0397745263236275,-0.0622490857819948,0.0
Chloropham,-3.38,CC(C)OC(=O)Nc1cccc(Cl)c1,213.664,14.0,1.0,3.2969000000000017,0.4113709848626554,-0.4465919427810191,3.0
Testosterone,-4.02,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,288.431,21.0,4.0,3.879200000000003,0.1551972904371741,-0.3925514254046628,2.0
"2,6-Dimethylpyridine",0.45,Cc1cccc(C)n1,107.156,8.0,1.0,1.69844,0.0375360118044125,-0.2584880857439026,1.0
acetazolamide,-2.36,CC(=O)Nc1nnc(s1)S(N)(=O)=O ,222.251,13.0,1.0,-0.8561000000000003,0.2668537466795803,-0.3007462541560122,7.0
2-Hexanol,-0.89,CCCCC(C)O,102.17699999999998,7.0,0.0,1.5574,0.0511665092522981,-0.3934192704931501,1.0
4-Heptanol,-1.4,CCCC(O)CCC,116.204,8.0,0.0,1.9475,0.0539645276619567,-0.3931317497787704,1.0
Propylbenzene ,-3.37,CCCc1ccccc1,120.19499999999996,9.0,1.0,2.639100000000001,-0.0281497984879188,-0.0650654381445557,0.0
Ethisterone,-5.66,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,312.45300000000003,23.0,4.0,3.8826000000000014,0.1551972904371743,-0.3770338698968244,2.0
1-Iodobutane,-2.96,CCCCI,184.02,5.0,0.0,2.2215,-0.0004828893241142,-0.0863760980194298,0.0
2-Pentanol,-0.29,CCCC(C)O,88.14999999999999,6.0,0.0,1.1673,0.0511565596161462,-0.3934194524776185,1.0
"2,6-Dimethylnaphthalene ",-4.89,Cc1ccc2cc(C)ccc2c1,156.228,12.0,2.0,3.456640000000002,-0.018120838622015,-0.0586873442491223,0.0
Fluorometuron,-3.32,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,232.205,16.0,1.0,2.7989000000000006,0.4159855244033364,-0.3306530422710292,3.0
Butyl acetate,-1.37,CCCCOC=O,102.13299999999998,7.0,0.0,0.9595,0.2925755176100331,-0.4679011733469599,2.0
mannitol,0.06,OCC(O)C(O)C(O)C(O)CO ,182.172,12.0,0.0,-3.5854000000000004,0.1105786065313125,-0.393579134968567,6.0
6-hydroxyquinoline,-2.16,Oc2ccc1ncccc1c2 ,145.161,11.0,2.0,1.9404,0.1158296982452672,-0.5079415533428902,2.0
Chlorbromuron,-3.924,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,293.548,15.0,1.0,3.127600000000002,0.3449823196374608,-0.3060102473742047,4.0
t-Crotonaldehyde,0.32,C/C=C/C=O,70.09100000000001,5.0,0.0,0.7614000000000001,0.1420076657939182,-0.2985764972892379,1.0
Reverse Transcriptase inhibitor 1,-2.62,CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,254.293,19.0,3.0,2.2246,0.2613880398817792,-0.3088968716706701,5.0
2-Methylbutan-2-ol,0.15,CCC(C)(C)O,88.14999999999998,6.0,0.0,1.1673,0.0588698614905335,-0.3904828518322725,1.0
Heptachlor,-6.317,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,373.3209999999999,17.0,3.0,5.2415,0.1667229278108792,-0.1180695538067458,0.0
thymine,-1.506,Cc1c[nH]c(=O)[nH]c1=O ,126.115,9.0,1.0,-0.6283800000000002,0.3251845359423132,-0.3138499072175502,4.0
Isobutyl acetate,-1.21,CC(C)COC(=O)C,116.15999999999998,8.0,0.0,1.2055,0.3021326858670146,-0.4656044264579465,2.0
sulfaguanidine,-1.99,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,214.25,14.0,1.0,-0.5594299999999999,0.263640530520305,-0.3987277171274399,6.0
D-fenchone,-1.85,CC2(C)C1CCC(C)(C1)C2=O,152.237,11.0,2.0,2.401700000000001,0.1441097530641579,-0.2984792570899102,1.0
"3,5-Dichlorophenol",-1.34,Oc1cc(Cl)cc(Cl)c1,163.003,9.0,1.0,2.699,0.1180489875937252,-0.5078557651915966,1.0
3-Methylheptane,-5.16,CCCCC(C)CC,114.232,8.0,0.0,3.2227000000000023,-0.0445425638033029,-0.0653822110118111,0.0
Tricresyl phosphate,-6.01,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,368.3690000000001,26.0,3.0,6.256760000000005,0.6465882870477924,-0.3859301041681358,4.0
Siduron,-4.11,CC1CCCCC1NC(=O)Nc2ccccc2,232.32700000000003,17.0,2.0,3.386800000000001,0.3189602975001607,-0.3348701352544511,3.0
Ethofumesate,-3.42,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,286.34900000000005,19.0,2.0,2.0576,0.3057461824434443,-0.4636815339666478,5.0
Rotenone,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,394.4230000000002,29.0,5.0,3.703300000000002,0.1775661445303485,-0.4928541654982912,6.0
Methyl propyl ether ,-0.39,CCCOC,74.12299999999999,5.0,0.0,1.0428,0.0459131669573666,-0.3847009770628876,1.0
3-Methyl-1-Butene,-2.73,CC(C)C=C,70.135,5.0,0.0,1.8284,-0.0293099677662802,-0.1028241097803503,0.0
p-Methoxybenzaldehyde,-1.49,COc1ccc(C=O)cc1,136.14999999999998,10.0,1.0,1.5076999999999998,0.1495525813042119,-0.4967677926784627,2.0
"1,4-Pentadiene ",-2.09,C=CCC=C,68.119,5.0,0.0,1.7485,-0.0174541677218813,-0.1027709432256533,0.0
Inosine,-1.23,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,268.22900000000004,19.0,3.0,-1.8566000000000005,0.2424387592556575,-0.4916038490011165,9.0
Cyclooctane,-4.15,C1CCCCCCC1,112.216,8.0,1.0,3.120800000000002,-0.0533059727891157,-0.0533059727891157,0.0
1-Hexene,-3.23,CCCCC=C,84.16199999999999,6.0,0.0,2.3626000000000005,-0.035351360605688,-0.1030829803040114,0.0
Propyl formate,-0.49,CCCOC=O,88.10599999999998,6.0,0.0,0.5694,0.2925753483471992,-0.4679120385595627,2.0
Propionitrile,0.28,CCC#N,55.07999999999999,4.0,0.0,0.91998,0.0618342405908647,-0.1983584061194375,1.0
Disulfiram,-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5520000000001,16.0,0.0,3.621200000000002,0.1469512998027304,-0.3573941017299303,2.0
Isobutyl formate,-1.01,CC(C)COC=O,102.13299999999998,7.0,0.0,0.8154,0.292585345694166,-0.4676277321796983,2.0
hydrazobenzene,-2.92,N(Nc1ccccc1)c2ccccc2 ,184.242,14.0,2.0,3.1256000000000013,0.0539344145648256,-0.3009121142174943,2.0
"2,2',3,3',5,6-PCB",-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,360.88200000000006,18.0,2.0,7.274000000000001,0.0686765710294798,-0.0826892431618577,0.0
Methyl benzoate ,-1.85,COC(=O)c1ccccc1,136.14999999999998,10.0,1.0,1.4732,0.3373414268354429,-0.4654175231959395,2.0
Glyceryl triacetate,-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C,218.205,15.0,0.0,0.0442999999999997,0.3026525572077403,-0.4617825808264809,6.0
p-Nitroanisole,-2.41,COc1ccc(cc1)N(=O)=O,153.13699999999997,11.0,1.0,1.6033999999999995,0.2691952053150494,-0.4967597347520019,4.0
Trichloroethylene,-1.96,ClC=C(Cl)Cl,131.389,5.0,0.0,2.5017000000000005,0.1176031867403948,-0.0903590844896965,0.0
1-Bromopentane,-3.08,CCCCCBr,151.047,6.0,0.0,2.571500000000001,0.0031251295653538,-0.0928078054181289,0.0
nifedipine,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,346.33900000000017,25.0,2.0,2.1756,0.3359783017314883,-0.4655800306723669,8.0
Tetrachloromethane,-2.31,ClC(Cl)(Cl)Cl,153.823,5.0,0.0,2.5529,0.2656852112875352,-0.0664213028218838,0.0
triamcinolone acetonide,-4.31,CC5(C)OC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O5)C(=O)CO ,434.50400000000025,31.0,5.0,2.4188000000000005,0.1927565591579702,-0.3897124003667539,6.0
Acetonitrile,0.26,CC#N,41.053,3.0,0.0,0.52988,0.058714823771249,-0.1986584259265234,1.0
