Red,Green,Blue,Red/Blue,Red/Green,Blue/Green,Grey,Type
197.572,189.572,153.572,1.287,1.042,0.00081,141.94,Milk (control)
198.364,190.231,154.63,1.283,1.043,0.0008129999999999,137.579,Milk (control)
197.625,189.625,153.625,1.286,1.042,0.00081,148.488,Milk (control)
202.659,195.843,160.289,1.264,1.035,0.0008179999999999,141.783,Milk (control)
205.245,197.405,161.643,1.27,1.04,0.000819,139.688,Milk (control)
200.181,194.174,160.176,1.25,1.031,0.000825,145.841,Milk (control)
203.444,194.457,161.457,1.26,1.046,0.00083,139.527,Milk (control)
201.214,193.891,160.336,1.255,1.038,0.0008269999999999,127.336,Milk (control)
201.576,193.543,160.227,1.258,1.042,0.000828,126.636,Milk (control)
200.868,192.124,159.039,1.263,1.046,0.000828,137.187,Milk (control)
200.402,191.465,158.444,1.265,1.047,0.000828,150.335,Milk (control)
200.858,192.101,159.025,1.263,1.046,0.000828,146.04,Milk (control)
209.491,201.728,165.772,1.264,1.038,0.0008219999999999,135.873,Milk (control)
208.256,200.903,164.903,1.263,1.037,0.0008209999999999,136.235,Milk (control)
201.054,192.087,159.006,1.264,1.047,0.000828,147.306,Milk (control)
208.578,200.5,164.543,1.268,1.04,0.0008209999999999,141.936,Milk (control)
207.003,199.279,163.299,1.268,1.039,0.000819,135.54,Milk (control)
207.106,201.043,165.759,1.249,1.03,0.000824,137.478,Milk (control)
207.254,204.044,170.145,1.218,1.016,0.000834,142.082,Milk + lead
214.967,211.961,176.961,1.215,1.014,0.0008349999999999,150.495,Milk + lead
209.652,204.934,172.089,1.218,1.023,0.0008399999999999,134.347,Milk + lead
211.04,206.957,171.161,1.233,1.02,0.0008269999999999,134.76,Milk + lead
210.269,206.236,170.712,1.232,1.02,0.000828,142.996,Milk + lead
208.065,203.879,168.972,1.231,1.021,0.000829,141.771,Milk + lead
204.378,199.177,165.996,1.231,1.026,0.000833,146.992,Milk + lead
204.545,196.411,165.405,1.237,1.041,0.000842,141.475,Milk + lead
207.094,201.413,167.254,1.238,1.028,0.00083,145.758,Milk + lead
204.259,199.557,165.846,1.232,1.024,0.0008309999999999,146.662,Milk + lead
204.456,199.623,166.513,1.228,1.024,0.000834,134.846,Milk + lead
203.985,199.371,165.101,1.236,1.023,0.000828,149.931,Milk + lead
204.071,199.985,165.078,1.236,1.02,0.000825,145.588,Milk + lead
203.811,199.493,165.006,1.235,1.022,0.0008269999999999,137.0,Milk + lead
204.261,200.191,165.402,1.235,1.02,0.0008259999999999,144.464,Milk + lead
210.906,206.906,171.906,1.227,1.019,0.0008309999999999,144.515,Milk + lead
211.503,207.503,172.503,1.226,1.019,0.0008309999999999,144.755,Milk + lead
209.262,205.239,170.25,1.229,1.02,0.00083,135.827,Milk + lead
210.127,206.124,171.133,1.228,1.019,0.00083,143.096,Milk + lead
211.35,207.34,172.35,1.226,1.019,0.0008309999999999,140.404,Milk + lead
211.517,207.446,172.366,1.227,1.02,0.0008309999999999,148.184,Milk + lead
209.31,205.181,170.246,1.229,1.02,0.00083,145.044,Milk + lead
210.285,205.77,170.748,1.232,1.022,0.00083,146.225,Milk + lead
209.973,205.947,170.951,1.228,1.02,0.00083,140.158,Milk + lead
153.535,149.223,128.992,1.19,1.029,0.000864,129.02,Rice water (control)
152.66,148.033,127.87,1.194,1.031,0.000864,128.801,Rice water (control)
154.577,150.235,129.729,1.192,1.029,0.000864,128.365,Rice water (control)
155.749,152.802,132.055,1.179,1.019,0.000864,139.334,Rice water (control)
153.359,149.962,129.429,1.185,1.023,0.0008629999999999,136.579,Rice water (control)
153.625,150.566,129.921,1.182,1.02,0.0008629999999999,136.629,Rice water (control)
157.732,153.467,132.799,1.188,1.028,0.000865,132.451,Rice water (control)
156.718,152.715,132.082,1.187,1.026,0.000865,128.6,Rice water (control)
156.738,152.517,131.689,1.19,1.028,0.0008629999999999,136.455,Rice water (control)
157.174,154.967,133.973,1.173,1.014,0.000865,129.5,Rice water (control)
156.347,153.549,132.816,1.177,1.018,0.000865,125.279,Rice water (control)
157.341,154.524,133.739,1.176,1.018,0.000865,148.386,Rice water (control)
161.176,157.477,136.562,1.18,1.023,0.000867,132.454,Rice water (control)
159.972,155.952,134.854,1.186,1.026,0.000865,139.936,Rice water (control)
158.977,155.264,133.465,1.191,1.024,0.00086,139.151,Rice water (control)
154.581,151.674,130.609,1.184,1.019,0.000861,123.94,Rice water (control)
155.191,151.748,130.276,1.191,1.023,0.000859,129.103,Rice water (control)
155.451,151.725,130.56,1.191,1.025,0.000861,138.002,Rice water (control)
196.93,190.93,158.93,1.239,1.031,0.000832,127.486,Milk + rice water
195.846,189.846,157.846,1.241,1.032,0.0008309999999999,142.922,Milk + rice water
196.138,190.138,158.138,1.24,1.032,0.000832,141.342,Milk + rice water
200.13,194.097,162.164,1.234,1.031,0.0008349999999999,135.891,Milk + rice water
199.294,193.247,161.524,1.234,1.031,0.0008359999999999,131.346,Milk + rice water
198.39,192.194,161.425,1.229,1.032,0.0008399999999999,132.22,Milk + rice water
200.076,194.076,160.076,1.25,1.031,0.000825,139.016,Milk + rice water
200.324,194.324,160.324,1.249,1.031,0.000825,145.386,Milk + rice water
200.201,194.13,160.154,1.25,1.031,0.000825,135.257,Milk + rice water
