1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z
14.585,13.725,12.373,13.759,12.631,13.162,15.657,13.504,12.619,14.341,14.635,12.831,12.761,13.025,14.188,14.378,11.718,13.322,12.492,14.172,14.534,11.962,11.811,14.542,11.387,11.372,13.17,12.48,11.033,15.106,11.164,12.085,15.262,12.349,12.062,12.181,11.283,10.333,12.947,10.346,11.671,13.118,11.944,13.218,11.349,12.862,11.306,11.692,12.859,13.968,10.84,10.933,13.545,11.226,14.319,13.669,11.055,12.535,14.79,10.204,14.629,12.756,10.541,14.882,14.462,10.5
14.585,13.868,12.458,13.773,12.721,13.075,15.642,13.816,12.678,14.094,14.814,12.589,12.816,12.986,14.187,14.441,11.928,13.325,12.418,14.119,14.499,12.021,11.69,14.538,11.282,11.56,13.205,12.657,10.756,14.58,11.353,11.77,15.391,12.373,12.014,12.161,10.949,10.554,12.95,10.413,12.201,13.175,11.948,13.217,11.427,12.668,11.167,11.592,12.904,13.943,10.805,10.858,13.454,11.356,14.296,13.537,11.039,12.686,14.848,10.264,14.34,12.467,10.898,15.061,14.033,10.411
14.668,13.689,12.557,13.667,12.552,12.999,15.702,13.482,12.568,14.269,14.665,12.939,12.73,13.05,14.113,14.422,11.832,13.35,12.52,14.195,14.37,11.886,11.899,14.515,11.463,11.334,13.164,12.506,11.183,15.059,11.029,12.102,15.213,12.564,12.04,12.199,11.403,10.206,13.125,10.429,11.6,12.857,11.871,13.233,11.519,12.718,11.237,11.501,12.818,14.029,10.948,10.795,13.397,11.46,14.231,13.633,11.01,12.668,14.891,10.285,14.508,12.63,10.714,14.914,14.276,10.359
14.717,13.715,12.537,13.626,12.541,13.014,15.726,13.543,12.762,14.485,14.624,13.063,12.793,13.049,14.13,14.297,11.804,13.398,12.489,14.179,14.294,11.882,11.86,14.527,11.434,11.418,13.114,12.477,11.056,14.965,11.043,12.159,15.207,12.571,12.032,12.218,11.33,10.351,12.972,10.479,11.809,12.851,11.885,13.2,11.569,12.676,11.269,11.468,12.779,13.994,10.983,10.865,13.329,11.331,14.242,13.665,11.009,12.531,14.839,10.421,14.344,12.617,10.793,14.968,14.284,10.422
14.587,13.724,12.362,13.744,12.627,13.169,15.654,13.49,12.586,14.438,14.684,12.884,12.756,13.004,14.257,14.373,11.802,13.383,12.409,14.14,14.446,11.988,11.707,14.524,11.343,11.494,13.189,12.632,10.907,14.86,11.268,11.687,15.395,12.455,12.114,12.203,11.048,10.438,12.972,10.452,12.114,13.078,11.95,13.252,11.467,12.917,11.38,11.475,12.842,13.931,10.784,10.879,13.534,11.378,14.342,13.66,10.993,12.558,14.805,10.259,14.597,12.708,10.47,14.847,14.517,10.42
14.629,13.738,12.446,13.759,12.645,13.154,15.703,13.623,12.634,14.344,14.752,12.746,12.796,13.009,14.223,14.456,11.805,13.376,12.385,14.101,14.42,12.035,11.729,14.569,11.385,11.513,13.152,12.699,10.857,14.757,11.432,11.925,15.475,12.409,12.135,12.211,11.15,10.456,12.991,10.427,12.094,13.249,11.852,13.242,11.376,12.907,11.403,11.447,12.854,13.962,10.809,10.783,13.434,11.185,14.314,13.579,11.033,12.692,14.878,10.231,14.432,12.544,10.656,14.918,14.39,10.491
14.406,13.964,12.365,13.504,12.809,13.042,15.474,13.612,12.276,14.48,14.83,13.061,12.961,12.825,14.493,14.022,11.834,12.922,12.908,13.805,15.202,11.881,11.702,14.466,11.121,11.936,13.103,12.42,10.764,14.355,11.308,11.868,15.354,12.175,12.799,12.338,10.82,10.97,12.639,10.219,12.496,13.447,12.358,12.377,10.89,11.773,13.799,12.376,13.3,13.13,10.32,11.738,11.584,10.448,13.802,14.308,11.177,13.787,12.834,9.372,12.918,14.975,11.368,14.546,14.874,10.599
14.38,13.92,12.374,13.505,12.767,13.026,15.35,13.484,12.191,14.451,14.737,13.061,12.911,12.855,14.425,14.076,11.835,12.901,12.931,13.888,15.055,11.978,11.638,14.416,11.106,11.875,13.189,12.66,10.748,14.317,11.52,11.45,15.405,12.085,12.794,12.337,11.022,10.99,12.585,10.15,12.357,13.326,12.38,12.409,10.916,11.644,13.798,12.31,13.363,13.146,10.388,11.973,11.454,10.511,13.778,14.36,11.267,13.953,12.796,9.563,12.916,14.961,11.362,14.441,15.05,10.678
14.524,13.607,12.355,13.649,12.659,13.169,15.292,12.98,11.939,15.07,14.204,13.113,12.897,12.98,14.31,14.072,11.71,13.241,12.848,13.986,14.947,11.847,11.813,14.54,11.462,11.507,13.064,12.292,10.832,14.911,10.973,12.235,15.109,11.993,12.723,12.367,11.915,10.597,12.653,10.39,11.447,12.973,12.202,12.687,10.915,11.335,13.589,12.714,13.157,13.375,10.365,11.613,11.863,10.436,13.838,14.317,11.363,13.343,13.341,9.306,13.106,14.977,11.852,14.523,14.939,10.696
14.486,13.73,12.465,13.57,12.563,13.006,15.552,13.624,12.691,14.011,14.669,12.867,12.746,13.083,14.209,14.335,11.891,13.483,12.663,14.229,14.601,11.818,11.927,14.455,11.561,11.307,13.12,12.272,11.226,15.13,10.94,12.269,14.975,12.49,11.992,12.191,11.644,10.218,13.214,10.482,11.501,12.814,11.9,13.212,11.419,12.845,11.339,11.412,12.867,13.945,10.903,10.885,13.394,11.241,14.316,13.666,11.024,12.515,14.82,10.328,14.529,12.642,10.702,14.99,14.344,10.546
