name,symbol,atomic_radius,atomic_weight,covalent_radius,density,dipole_polarizability,electrons,mass_number,neutrons,protons,vdw_radius,first_ionization,electronegativity allred-rochow,electronegativity gordy,zeff,atomic_radius_wikipedia
Hydrogen,H,154.0,1.008,32.0,8.2e-05,4.50711,1,1,0,1,110.00000000000001,13.598434599702,0.0009765625,0.03125,1.0,53.0
Helium,He,134.0,4.002602,46.0,0.000164,1.38375,2,4,2,2,140.0,24.587389011,0.0008034026465028355,0.03695652173913044,1.7,31.0
Lithium,Li,220.00000000000003,6.94,133.0,0.534,164.1125,3,7,4,3,182.0,5.391714996,7.34920006783877e-05,0.009774436090225564,1.3,167.0
Beryllium,Be,219.0,9.0121831,102.0,1.85,37.74,4,9,5,4,153.0,9.322699,0.00018742791234140717,0.01911764705882353,1.9500000000000002,112.0
Boron,B,204.99999999999997,10.81,85.0,2.34,20.5,5,11,6,5,192.0,8.298019,0.00035986159169550173,0.03058823529411765,2.6,87.0
Carbon,C,190.0,12.011,75.0,2.2,11.3,6,12,6,6,170.0,11.260288,0.0005777777777777778,0.043333333333333335,3.25,67.0
Nitrogen,N,179.0,14.007,71.0,0.001145,7.4,7,14,7,7,155.0,14.53413,0.0007736560206308273,0.054929577464788736,3.9000000000000004,56.0
Oxygen,O,171.0,15.999,63.0,0.0013080000000000001,5.3,8,16,8,8,152.0,13.618055,0.001146384479717813,0.07222222222222222,4.55,48.0
Fluorine,F,163.0,18.998403163,64.0,0.001553,3.74,9,19,10,9,147.0,17.42282,0.00126953125,0.08125,5.2,42.0
Neon,Ne,156.0,20.1797,67.0,0.000825,2.6611,10,20,10,10,154.0,21.564541,0.0013031855647137448,0.08731343283582091,5.8500000000000005,38.0
Sodium,Na,225.0,22.98976928,155.0,0.97,162.7,11,23,12,11,227.0,5.13907696,9.157127991675336e-05,0.01419354838709677,2.1999999999999993,190.0
Magnesium,Mg,240.0,24.305,139.0,1.74,71.2,12,24,12,12,173.0,7.646236,0.00014750789296620256,0.020503597122302156,2.8499999999999996,145.0
Aluminum,Al,239.0,26.9815385,126.0,2.7,57.8,13,27,14,13,184.0,5.985769,0.0002204585537918871,0.027777777777777776,3.5,118.0
Silicon,Si,231.99999999999997,28.085,115.99999999999999,2.3296,37.3,14,28,14,14,210.0,8.15168,0.00030841260404280616,0.03577586206896551,4.149999999999999,111.0
Phosphorus,P,223.0,30.973761998,111.00000000000001,1.823,25.0,15,31,16,15,180.0,10.486686,0.00038957876795714613,0.043243243243243225,4.799999999999999,98.0
Sulfur,S,214.0,32.06,103.0,2.07,19.4,16,32,16,16,180.0,10.36001,0.0005137147704778961,0.0529126213592233,5.449999999999999,88.0
Chlorine,Cl,206.0,35.45,99.0,0.002898,14.6,17,35,18,17,175.0,12.967633,0.0006223854708703193,0.06161616161616161,6.1,79.0
Argon,Ar,197.0,39.948,96.0,0.001633,11.083,18,40,22,18,188.0,15.7596119,0.000732421875,0.0703125,6.75,71.0
Potassium,K,234.0,39.0983,196.0,0.89,289.7,19,39,20,19,275.0,4.34066373,5.726780508121614e-05,0.011224489795918363,2.1999999999999993,243.0
