animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
bear,1,0,0,1,0,0,1,1,1,1,0,0,0.5,0,0,1
cat,1,0,0,1,0,0,1,1,1,1,0,0,0.5,1,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,0.25,1,1,0
crow,0,1,1,0,1,0,1,0,1,1,0,0,0.25,1,0,0
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0.0,1,0,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0.0,1,0,1
duck,0,1,1,0,1,1,0,0,1,1,0,0,0.25,1,0,0
elephant,1,0,0,1,0,0,0,1,1,1,0,0,0.5,1,0,1
frog,0,0,1,0,0,1,1,1,1,1,0,0,0.5,0,0,0
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,0.25,1,0,0
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,0.5,1,0,1
human,1,0,0,1,0,0,1,1,1,1,0,0,0.25,0,1,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,0.5,1,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,0.25,0,0,1
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,0.75,0,1,0
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,0.25,1,0,0
lion,1,0,0,1,0,0,1,1,1,1,0,0,0.5,1,0,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,0.75,0,0,0
newt,0,0,1,0,0,1,1,1,1,1,0,0,0.5,1,0,0
octopus,0,0,1,0,0,1,1,0,0,0,0,0,1.0,0,0,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,0.25,1,0,1
penguin,0,1,1,0,0,1,1,0,1,1,0,0,0.25,1,0,1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0.0,1,0,0
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0.0,1,0,0
platypus,1,0,1,1,0,1,1,0,1,1,0,0,0.5,1,0,1
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,1.0,1,0,0
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0.0,1,0,0
seal,1,0,0,1,0,1,1,1,1,1,0,1,0.0,0,0,1
swan,0,1,1,0,1,1,0,0,1,1,0,0,0.25,1,0,1
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,0.5,1,0,1
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0.0,1,0,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,0.25,1,0,1
