Species,Age,Sex,Wing,Weight,Tail,Culmen
RT,I,?,385.0,920.0,219,25.7
RT,I,?,381.0,990.0,235,26.7
CH,I,F,265.0,470.0,220,18.7
SS,I,F,205.0,170.0,157,12.5
RT,I,?,412.0,1090.0,230,28.5
RT,I,?,370.0,960.0,212,25.3
RT,A,?,375.0,855.0,243,27.2
RT,A,?,412.0,1210.0,210,29.3
RT,I,?,405.0,1120.0,238,26.0
RT,I,?,393.0,1010.0,222,26.3
RT,I,?,371.0,1010.0,217,25.4
RT,A,?,390.0,1120.0,213,28.9
RT,I,?,416.0,1170.0,243,26.5
RT,A,?,436.0,1390.0,232,30.5
RT,I,?,418.0,1150.0,238,27.1
RT,A,?,381.0,950.0,202,28.9
RT,I,?,378.0,910.0,227,25.7
RT,I,?,396.0,1010.0,227,24.0
RT,I,?,399.0,1070.0,222,26.4
RT,I,?,416.0,1190.0,237,28.8
RT,I,?,415.0,101.0,238,24.9
RT,A,?,392.0,1330.0,213,27.0
RT,I,?,380.0,990.0,211,26.0
RT,I,?,399.0,1100.0,190,26.2
RT,A,?,401.0,1190.0,245,28.6
SS,I,F,205.0,180.0,164,11.7
RT,I,?,427.0,1490.0,246,30.1
RT,A,?,395.0,1040.0,207,27.1
RT,I,?,362.0,820.0,209,24.9
RT,A,?,396.0,1030.0,200,26.0
RT,A,?,391.0,1300.0,215,25.5
RT,A,?,413.0,1500.0,219,26.5
RT,A,?,371.0,1080.0,198,25.3
RT,A,?,385.0,1320.0,207,27.3
RT,A,?,378.0,1490.0,204,25.4
RT,A,?,416.0,1500.0,205,29.1
SS,I,M,193.0,100.0,144,9.3
SS,I,M,171.0,88.0,136,9.7
CH,I,?,233.0,324.0,191,16.0
RT,I,?,384.0,1060.0,230,26.1
RT,I,?,382.0,1140.0,227,25.1
RT,I,?,390.0,1030.0,208,27.6
RT,I,?,390.0,1000.0,231,25.1
RT,I,?,393.0,1050.0,222,28.7
RT,I,?,378.0,1040.0,225,26.2
RT,I,?,398.0,1110.0,225,26.5
RT,I,?,412.0,1300.0,233,27.9
RT,I,?,400.0,980.0,214,25.7
RT,I,?,422.0,1120.0,233,26.4
SS,I,F,202.0,134.0,158,12.4
RT,I,?,394.0,1270.0,245,27.8
RT,I,?,369.0,880.0,210,25.0
CH,I,F,252.0,340.0,230,16.0
CH,A,M,240.0,340.0,192,16.1
RT,I,?,410.0,1255.0,229,29.7
RT,I,?,241.0,1320.0,235,28.6
RT,I,?,408.0,1320.0,221,30.0
RT,I,?,37.2,1180.0,210,20.2
RT,I,?,380.0,760.0,212,24.5
RT,I,?,396.0,1250.0,225,26.6
SS,I,M,158.0,100.0,122,10.8
RT,I,?,416.0,1300.0,235,27.3
CH,I,F,271.0,475.0,232,18.2
SS,A,M,176.0,100.0,133,9.8
RT,A,?,390.0,1080.0,209,30.2
RT,A,?,391.0,1130.0,212,26.4
RT,A,?,387.0,1160.0,209,26.8
RT,I,?,420.0,1345.0,250,29.5
RT,A,?,435.0,1385.0,235,32.6
RT,A,?,400.0,1210.0,222,25.5
RT,I,?,398.0,1455.0,236,28.0
RT,I,?,395.0,1180.0,210,25.0
RT,I,?,410.0,1500.0,239,27.1
RT,I,?,369.0,1025.0,228,27.1
RT,I,?,372.0,930.0,220,26.1
RT,I,?,415.0,1360.0,233,28.6
RT,I,?,412.0,1255.0,236,27.7
SS,I,F,205.0,194.0,155,12.6
SS,I,F,204.0,159.0,152,12.5
SS,I,M,170.0,90.0,135,9.5
CH,A,M,233.0,340.0,186,17.8
RT,I,?,375.0,1065.0,216,25.9
RT,I,?,385.0,1125.0,233,19.6
RT,I,?,422.0,1340.0,248,28.7
RT,I,?,391.0,1050.0,221,26.6
RT,I,?,410.0,1210.0,227,27.5
RT,I,?,385.0,980.0,223,26.8
RT,I,?,381.0,1000.0,219,25.5
RT,A,?,416.0,1390.0,225,28.1
RT,I,?,406.0,1275.0,238,29.0
RT,I,?,418.0,1180.0,235,30.1
RT,I,?,412.0,1210.0,222,29.3
SS,A,F,208.0,168.0,155,12.7
SS,I,F,208.0,146.0,160,11.8
SS,I,M,175.0,108.0,137,10.0
SS,I,M,166.0,94.0,127,9.5
RT,I,?,405.0,1085.0,238,27.7
SS,A,F,198.0,188.0,150,12.2
SS,I,F,200.0,154.0,150,12.4
RT,I,?,380.0,810.0,229,25.9
RT,I,?,381.0,905.0,227,27.9
SS,I,M,169.0,94.0,129,9.0
CH,I,F,260.0,420.0,220,19.6
RT,I,?,428.0,1240.0,245,29.1
RT,I,?,400.0,990.0,223,26.9
CH,I,F,265.0,365.0,224,16.8
SS,I,M,177.0,91.0,133,10.2
RT,I,?,381.0,1010.0,210,25.8
RT,I,?,403.0,980.0,234,26.3
RT,I,?,382.0,860.0,219,26.5
RT,I,?,382.0,970.0,216,25.8
RT,I,?,399.0,980.0,230,27.5
RT,I,?,380.0,985.0,223,23.9
RT,I,?,375.0,990.0,220,25.6
RT,I,?,420.0,1210.0,241,27.8
SS,I,M,170.0,89.0,136,8.6
SS,A,M,177.0,97.0,137,10.0
RT,I,?,375.0,990.0,223,28.0
RT,I,?,395.0,1170.0,238,28.1
SS,A,M,170.0,93.0,126,10.1
RT,I,?,406.0,1350.0,235,30.5
RT,I,?,414.0,1370.0,240,29.3
SS,I,M,173.0,103.0,137,9.7
SS,I,F,209.0,151.0,160,12.2
SS,I,M,177.0,101.0,140,10.3
RT,I,?,388.0,985.0,220,26.9
RT,I,?,277.0,940.0,218,26.5
RT,I,?,423.0,1310.0,234,27.4
RT,I,?,365.0,1035.0,232,26.1
RT,I,?,383.0,965.0,221,26.1
RT,I,?,391.0,1125.0,220,25.4
RT,I,?,389.0,975.0,232,26.4
RT,I,?,392.0,1140.0,214,26.2
RT,I,?,375.0,950.0,225,25.3
RT,I,?,410.0,1210.0,238,28.1
SS,I,M,179.0,95.0,133,10.8
SS,I,M,172.0,89.0,136,9.4
SS,A,F,202.0,195.0,151,12.4
SS,I,M,174.0,93.0,131,9.5
RT,I,?,422.0,1205.0,238,28.8
