Descriptor name,Description
MaxEStateIndex,Maximum E-State index (electrotopological state index) for a molecule. Reference for E-State indices: https://doi.org/10.1002/qsar.19910100108
MinEStateIndex,Minimum E-State index (electrotopological state index) for a molecule. Reference for E-State indices: https://doi.org/10.1002/qsar.19910100108
MaxAbsEStateIndex,Maximum (disregarding the sign) E-State index (electrotopological state index) for a molecule. Reference for E-State indices: https://doi.org/10.1002/qsar.19910100108
MinAbsEStateIndex,Minimum (disregarding the sign) E-State index (electrotopological state index) for a molecule. Reference for E-State indices: https://doi.org/10.1002/qsar.19910100108
qed,Calculate the weighted sum of ADS mapped properties
MolWt,The average molecular weight of the molecule
HeavyAtomMolWt,The average molecular weight of the molecule ignoring hydrogens
ExactMolWt,The exact molecular weight of the molecule
NumValenceElectrons,The number of valence electrons the molecule has
NumRadicalElectrons,The number of radical electrons the molecule has (says nothing about spin state)
MaxPartialCharge,Largest Gasteiger partial charge in a molecule. Reference for Gasteiger partial charge: https://doi.org/10.1016/0040-4020(80)80168-2
MinPartialCharge,Smallest Gasteiger partial charge in a molecule. Reference for Gasteiger partial charge: https://doi.org/10.1016/0040-4020(80)80168-2
MaxAbsPartialCharge,Largest (disregarding the sign) Gasteiger partial charge in a molecule. Reference for Gasteiger partial charge: https://doi.org/10.1016/0040-4020(80)80168-2
MinAbsPartialCharge,Smallest (disregarding the sign) Gasteiger partial charge in a molecule. Reference for Gasteiger partial charge: https://doi.org/10.1016/0040-4020(80)80168-2
FpDensityMorgan1,"Morgan fingerprint (radius 1) density. The density is taken as the number of ""on"" bits/non-zero bits divided by the number of heavy atoms."
FpDensityMorgan2,"Morgan fingerprint (radius 2) density. The density is taken as the number of ""on"" bits/non-zero bits divided by the number of heavy atoms."
FpDensityMorgan3,"Morgan fingerprint (radius 3) density. The density is taken as the number of ""on"" bits/non-zero bits divided by the number of heavy atoms."
BCUT2D_MWHI,BCUT descriptor (Mass eigenvalue high). Reference: https://doi.org/10.1021/ci980102x
BCUT2D_MWLOW,BCUT descriptor (Mass eigenvalue low). Reference: https://doi.org/10.1021/ci980102x
BCUT2D_CHGHI,BCUT descriptor (Gasteiger charge eigenvalue high). Reference: https://doi.org/10.1021/ci980102x
BCUT2D_CHGLO,BCUT descriptor (Gasteiger charge eigenvalue low). Reference: https://doi.org/10.1021/ci980102x
BCUT2D_LOGPHI,BCUT descriptor (Crippen logP eigenvalue high). Reference: https://doi.org/10.1021/ci980102x
BCUT2D_LOGPLOW,BCUT descriptor (Crippen logP eigenvalue low). Reference: https://doi.org/10.1021/ci980102x
BCUT2D_MRHI,"BCUT descriptor (Crippen MR, eigenvalue high). Reference: https://doi.org/10.1021/ci980102x"
BCUT2D_MRLOW,"BCUT descriptor (Crippen MR, eigenvalue low). Reference: https://doi.org/10.1021/ci980102x"
BalabanJ,Calculate Balaban's J value for a molecule. We follow the notation of Balaban's paper: https://doi.org/10.1016/0009-2614(82)80009-2
BertzCT,"A topological index meant to quantify ""complexity"" of molecules. Consists of a sum of two terms, one representing the complexity of the bonding, the other representing the complexity of the distribution of heteroatoms. From https://doi.org/10.1021/ja00402a071"
Chi0,"From equations (1),(9) and (10) of https://doi.org/10.1002/9780470125793.ch9"
Chi0n,"Similar to Hall Kier Chi0v, but uses nVal instead of valence."
Chi0v,"From equations (5),(9) and (10) of https://doi.org/10.1002/9780470125793.ch9"
Chi1,"From equations (1),(11) and (12) of https://doi.org/10.1002/9780470125793.ch9"
Chi1n,"Similar to Hall Kier Chi1v, but uses nVal instead of valence."
Chi1v,"From equations (5),(11) and (12) of https://doi.org/10.1002/9780470125793.ch9"
Chi2n,"Similar to Hall Kier Chi2v, but uses nVal instead of valence."
Chi2v,"From equations (5),(15) and (16) of https://doi.org/10.1002/9780470125793.ch9"
Chi3n,"Similar to Hall Kier Chi3v, but uses nVal instead of valence."
Chi3v,"From equations (5),(15) and (16) of https://doi.org/10.1002/9780470125793.ch9"
Chi4n,"Similar to Hall Kier Chi4v, but uses nVal instead of valence."
Chi4v,"From equations (5),(15) and (16) of https://doi.org/10.1002/9780470125793.ch9"
HallKierAlpha,The Hall-Kier alpha value for a molecule. From equations (58) of https://doi.org/10.1002/9780470125793.ch9
Ipc,Information content of the coefficients of the characteristic polynomial of the adjacency matrix of a hydrogen-suppressed graph of a molecule. From https://doi.org/10.1063/1.434593
Kappa1,Hall-Kier Kappa1 value. From equations (58) and (59) of https://doi.org/10.1002/9780470125793.ch9
Kappa2,Hall-Kier Kappa2 value. From equations (58) and (60) of https://doi.org/10.1002/9780470125793.ch9
Kappa3,"Hall-Kier Kappa3 value. From equations (58), (61) and (62) of https://doi.org/10.1002/9780470125793.ch9"
LabuteASA,Labute's Approximate Surface Area (ASA from MOE). Definition from P. Labute's article in the Journal of the Chemical Computing Group and https://doi.org/10.1016/S1093-3263(00)00068-1
PEOE_VSA1,MOE Charge VSA Descriptor 1 (-inf < x < -0.30)
PEOE_VSA10,MOE Charge VSA Descriptor 10 ( 0.10 <= x <  0.15)
PEOE_VSA11,MOE Charge VSA Descriptor 11 ( 0.15 <= x <  0.20)
PEOE_VSA12,MOE Charge VSA Descriptor 12 ( 0.20 <= x <  0.25)
PEOE_VSA13,MOE Charge VSA Descriptor 13 ( 0.25 <= x <  0.30)
PEOE_VSA14,MOE Charge VSA Descriptor 14 ( 0.30 <= x < inf)
PEOE_VSA2,MOE Charge VSA Descriptor 2 (-0.30 <= x < -0.25)
PEOE_VSA3,MOE Charge VSA Descriptor 3 (-0.25 <= x < -0.20)
PEOE_VSA4,MOE Charge VSA Descriptor 4 (-0.20 <= x < -0.15)
PEOE_VSA5,MOE Charge VSA Descriptor 5 (-0.15 <= x < -0.10)
PEOE_VSA6,MOE Charge VSA Descriptor 6 (-0.10 <= x < -0.05)
PEOE_VSA7,MOE Charge VSA Descriptor 7 (-0.05 <= x <  0.00)
PEOE_VSA8,MOE Charge VSA Descriptor 8 ( 0.00 <= x <  0.05)
PEOE_VSA9,MOE Charge VSA Descriptor 9 ( 0.05 <= x <  0.10)
SMR_VSA1,MOE MR VSA Descriptor 1 (-inf < x <  1.29)
SMR_VSA10,MOE MR VSA Descriptor 10 ( 4.00 <= x < inf)
SMR_VSA2,MOE MR VSA Descriptor 2 ( 1.29 <= x <  1.82)
SMR_VSA3,MOE MR VSA Descriptor 3 ( 1.82 <= x <  2.24)
SMR_VSA4,MOE MR VSA Descriptor 4 ( 2.24 <= x <  2.45)
