year,area_pva,apva_1yr,popgrowth_pva,Prop_Inf,closum_N,closum_S,dinsum_N,dinsum_S,imisum_N,imisum_S,thisum_N,thisum_S,totalneon_N,totalneon_S,glysum_N,glysum_S,glycum_N,glycum_S,DC_N,twoD_N,DC_S,twoD_S,CRPsum_N,CRPsum_S,T70p1sum_NC,T70p1sum_NE,T70p2sum_NC,T70p2sum_NE,T70p3sum_NC,T70p3sum_NE,T70p4sum_NC,T70p4sum_NE,GDD_Ssp,GDD_NC,GDD_NE,GDD_Sf,LDD_Ssp,LDD_NC,LDD_NE,LDD_Sf,Tempp1avg_NC,Tempp1avg_NE,Tempp2avg_NC,Tempp2avg_NE,Tempp3avg_NC,Tempp3avg_NE,Tempp4avg_NC,Tempp4avg_NE,MeanJ_NC,MeanJ_NE,MeantempSp_S,TminAug_NC,TminAug_NE,TminJl_NC,TminJl_NE,TminJu_NC,TminJu_NE,NighttempF_S,DroughtSp_S,Drought_NC,Drought_NE,Prec_S,Ramirez.cumul,Vidal.cumul,Ramirez.annu,Vidal.annu,OWmean_temp,OWmean_humid,OWtotal_precip,OWmean_wind,OWmean_gust,OWmean_max_temp,OWmean_min_temp,OWmean_max_humid,OWmean_min_humid,OWmean_max_wind,OWmean_min_wind,OWmean_max_gust,milkweed resource,log milkweed resource
1993,1.918,1.532,0.196,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2952.5,1499.89,2953,1500,3439732.6,9438260.0,602668.4,4026914.0,20203580.8,11461866.6,13799397.0,3153257.0,9817344.0,1389188.0,6243870.0,906803.0,2050535.0,267234.0,618.562,862.03,802.062,511.225,0.353,0.0,0.0,0.0,13.936,14.678,13.532,12.845,14.163,13.116,13.994,13.23,16.4,16.2,12.2,11.3,5.1,11.5,9.3,11.7,8.0,8.349,0.0,0.8,0.9,215.7,191.86,0.0,191.86,0.0,12.56,53.14,3.8,4.94,6.89,20.91,4.96,79.71,27.88,7.81,2.42,12.28,1119641971,9.04907917
1994,2.114,1.918,0.353,0.01,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.6,3083.24,2040.13,6036,3540,5007605.0,9699361.4,738107.5,4600944.0,20203580.8,11461866.6,6656633.0,748003.0,14679148.0,435975.0,17400180.0,1713706.0,13664380.0,2022294.0,679.541,946.055,783.68,553.821,0.765,0.093,0.0,0.039,10.294,10.092,15.533,10.001,17.166,14.024,17.816,16.366,18.7,18.0,14.5,13.9,16.9,13.3,1.7,4.9,6.1,9.832,0.2,-0.2,-0.1,219.7,383.72,0.0,191.86,0.0,13.84,59.13,15.3,5.35,8.39,21.53,6.93,86.35,32.12,8.32,2.39,17.39,1119641971,9.04907917
1995,2.467,2.114,0.154,0.01,0.0,0.0,0.0,0.0,6.28,11.75,0.0,0.0,6.28,11.75,4077.71,2350.9,10113,5891,4490687.0,10365704.1,892278.8,5318894.0,20184316.4,11448960.4,2330941.0,935043.0,7002409.0,761425.0,2735074.0,1511421.0,12188054.0,2535865.0,678.389,1003.91,845.069,523.885,0.059,1.444,0.029,0.353,10.079,9.284,12.647,12.15,12.709,14.832,17.344,18.275,18.7,17.7,14.1,5.4,8.7,8.6,2.3,12.6,9.5,9.093,0.4,0.2,0.1,191.6,575.58,0.0,191.86,0.0,11.04,67.72,48.7,7.14,11.39,17.14,5.71,89.88,42.0,12.74,3.39,22.47,1119641971,9.04907917
1996,2.621,2.467,-0.688,0.01,0.0,0.0,0.0,0.0,14.5,6.98,0.0,0.0,14.5,6.98,4264.26,2741.68,14378,8633,4408707.7,9940344.5,491024.8,5158503.0,19912224.6,11307944.2,2996502.0,674866.0,9993901.0,1165713.0,4158147.0,1157478.0,6403200.0,2007979.0,693.624,945.497,769.494,512.152,0.941,0.093,0.0,0.0,9.539,10.094,14.427,11.607,13.062,13.559,16.143,16.723,18.5,17.3,12.0,5.5,5.7,11.9,5.0,4.0,7.0,9.136,-0.6,-0.3,-0.3,185.5,767.44,0.0,191.86,0.0,12.68,60.82,36.9,4.94,7.32,18.71,7.32,83.18,36.88,8.43,2.19,13.83,1119641971,9.04907917
1997,1.934,2.621,-0.12,0.01,0.0,0.0,0.0,0.0,11.87,28.81,0.0,0.0,11.87,28.81,5287.2,3929.35,19665,12562,4765140.9,9435400.5,821020.9,6877081.0,18760297.8,10886673.5,7532298.0,536941.0,8055449.0,555593.0,2691358.0,461257.0,12309807.0,884796.0,549.011,918.084,706.62,526.514,0.0,0.315,0.0,0.235,10.395,8.824,11.576,10.889,12.715,11.484,17.868,14.202,18.7,16.6,13.6,11.2,12.9,13.9,17.0,3.5,14.7,9.431,0.3,0.2,0.1,247.7,959.3,0.0,191.86,0.0,12.07,52.41,0.3,7.36,12.57,21.15,3.45,81.65,23.71,13.39,3.37,27.32,1101617054,9.042030651
1998,1.814,1.934,0.136,0.008,0.0,0.0,0.0,0.0,11.82,26.16,0.0,0.0,11.82,26.16,9920.95,4570.62,29586,17133,3662161.5,7592713.9,677711.6,6658036.0,17792847.8,9573283.3,13505700.0,1743931.0,19050713.0,2603509.0,14609963.0,2644456.0,4789541.0,492133.0,744.435,1056.301,820.64,635.805,2.137,0.833,0.0,0.902,13.144,14.383,17.524,15.362,17.101,16.389,13.098,13.333,16.9,16.4,12.9,2.9,13.1,4.0,4.5,13.5,7.9,11.132,0.0,0.4,0.3,221.0,1151.16,0.0,191.86,0.0,13.58,52.89,0.0,5.25,7.36,21.18,6.14,77.76,28.59,9.05,2.3,13.62,1030959380,9.013241554
1999,1.95,1.814,-0.316,0.015,0.0,0.0,0.0,0.0,13.58,27.83,0.0,0.0,13.58,27.83,12502.72,6259.59,42089,23392,2700841.6,6311395.5,631971.8,5996110.0,17467663.6,9432727.8,10691502.0,2316882.0,7284096.0,2024749.0,12598170.0,1666386.0,13991286.0,3207364.0,701.821,989.49,945.861,561.908,0.02,0.685,0.029,0.0,12.465,14.184,13.435,12.803,15.856,14.883,18.797,20.339,17.8,18.5,13.9,5.8,8.4,8.0,6.8,11.2,7.9,9.303,0.2,0.0,0.1,191.7,1343.02,0.0,191.86,0.0,11.16,54.13,4.8,7.03,9.7,19.2,3.69,80.12,29.12,11.35,3.76,17.87,880458535,8.944708908
2000,1.634,1.95,0.315,0.026,0.0,0.0,0.0,0.0,16.71,22.12,0.0,0.04,16.71,22.16,14271.14,7777.77,56360,31170,2548832.1,6531522.4,643193.8,5910730.0,18390143.9,9885402.1,17598855.0,2405722.0,5989819.0,1248338.0,11946488.0,320930.0,10279613.0,1131738.0,713.672,976.275,723.24,553.9,1.451,2.056,0.0,2.059,15.898,14.863,12.589,12.127,16.228,12.516,17.336,14.926,16.8,16.3,14.5,4.9,5.4,10.8,13.4,12.5,10.2,9.098,-0.2,-0.1,-0.1,191.9,1610.02,0.0,267.0,0.0,11.08,50.51,8.1,6.47,10.36,19.05,4.23,76.88,26.76,11.29,2.46,19.91,702028555,8.846354777
2001,1.949,1.634,-0.289,0.02,0.0,0.0,0.0,0.0,14.34,27.29,0.07,1.01,14.41,28.3,16998.36,9664.99,73358,40835,2437169.7,7176391.2,643403.2,7115259.0,19784903.8,10399431.5,13844387.0,2808167.0,16425443.0,1351372.0,5486107.0,789071.0,4388942.0,551942.0,706.191,1045.136,851.218,534.665,0.529,1.333,0.0,0.0,14.151,15.135,16.893,13.053,13.267,14.131,14.883,13.964,17.8,17.7,13.5,3.8,2.9,8.3,19.2,7.6,3.5,9.756,0.0,-0.2,-0.3,177.0,1877.02,144.5,267.0,144.5,13.16,65.03,42.4,5.67,8.94,19.43,7.72,89.0,38.24,9.72,2.71,17.34,579073534,8.762733716
2002,1.66,1.949,0.057,0.033,0.0,0.0,0.0,0.0,17.25,23.12,1.23,3.81,18.48,26.93,19153.38,10267.64,92511,51103,2348283.5,7100067.8,751640.5,7037602.0,20085520.6,10435158.2,6374695.0,1318460.0,4956650.0,646394.0,11658496.0,1839766.0,14517655.0,1523277.0,735.357,1066.077,832.15,553.771,0.647,3.463,0.0,0.0,9.401,10.813,10.588,9.352,14.707,13.858,18.853,16.195,19.0,16.0,14.4,9.9,4.8,5.1,14.5,4.3,10.3,10.091,-0.5,-0.4,-0.2,199.2,2144.02,289.0,267.0,144.5,13.05,61.69,14.0,5.98,8.95,19.88,6.9,86.24,35.0,10.52,2.61,18.38,487615199,8.688077234
