    hour       yobs
0      1  31.312231
1      2  25.648250
2      3  18.575565
3      4  27.077625
4      5  14.760071
5      6  22.753602
6      7  12.680652
7      8  10.970386
8      9   9.550009
9     10  11.921244
10    11   4.019919
11    12   6.073475
12    13   4.034973
13    14   0.641351
14    15   1.697584
15    16   2.345023
16    17  -4.983523
17    18  -4.542463
18    19   3.869776
19    20  -3.213637
20    21  -0.126230
21    22   0.198584
22    23  -2.686443
23    24  -3.868159
24    25   5.963732
25    26   5.878299
26    27  -1.814587
27    28  -3.595059
28    29   2.491305
29    30   0.494649
30    31   5.480024
31    32  -0.710277
32    33   4.157433
33    34   3.514267
34    35   4.655891
35    36   8.673122
36    37   7.635074
37    38   1.003602
38    39   3.045044
39    40   4.442369
40    41  -0.720014
41    42  10.268229
42    43  -7.182319
43    44  -1.120604
44    45  -3.120229
45    46  -0.625755
46    47  -3.948596
47    48 -10.056338
48    49  -4.723437
49    50 -10.348915
50    51 -15.305812
51    52 -12.830088
52    53 -16.005846
53    54 -20.654146
54    55 -24.385500
55    56 -28.357798
56    57 -33.742647
57    58 -29.704018
58    59 -48.342366
59    60 -49.199037
