length,delivery,dose
4.2,W,0.5
11.5,W,0.5
7.3,W,0.5
5.8,W,0.5
6.4,W,0.5
10.0,W,0.5
11.2,W,0.5
11.2,W,0.5
5.2,W,0.5
7.0,W,0.5
16.1,W,1.0
16.1,W,1.0
15.2,W,1.0
17.3,W,1.0
22.1,W,1.0
17.3,W,1.0
13.6,W,1.0
14.5,W,1.0
18.8,W,1.0
15.5,W,1.0
23.6,W,2.0
18.5,W,2.0
33.9,W,2.0
25.5,W,2.0
26.4,W,2.0
32.1,W,2.0
26.7,W,2.0
21.5,W,2.0
23.3,W,2.0
29.1,W,2.0
15.2,O,0.5
21.5,O,0.5
17.6,O,0.5
9.7,O,0.5
14.5,O,0.5
10.0,O,0.5
8.2,O,0.5
9.4,O,0.5
16.1,O,0.5
9.7,O,0.5
19.7,O,1.0
23.3,O,1.0
23.6,O,1.0
26.4,O,1.0
20.0,O,1.0
25.2,O,1.0
25.8,O,1.0
21.2,O,1.0
14.5,O,1.0
27.3,O,1.0
25.5,O,2.0
26.4,O,2.0
22.4,O,2.0
24.5,O,2.0
24.8,O,2.0
30.9,O,2.0
26.4,O,2.0
27.3,O,2.0
29.4,O,2.0
23.0,O,2.0
